Date and Time,Battery Voltage,CR10 Temperature,Wind Direction 10 Minutes,Wind Speed 10 Minutes,Wind Gust 10 Minutes,Hourly Average Direction,Hourly Average Speed,Hourly Maximum Gust,Hourly Gust Time,Hourly Gust Direction,Last Minute Average Temperature,Total Hourly Rain,Average RH over previous minute,Maximum Hourly Air Temperature,Minimum Hourly Air Temperature,Maximum Hourly Rainfall Rate,Time of Rainfall
01/01/2017 00:00,14.09,13.96,44.59,9.4,13.84,40,10.2,18.87,23:26,44.55,7.55,,87.3,8,7.55,,23:01
01/01/2017 01:00,14.1,13.98,45.08,8.41,11.4,40,7.43,14.25,00:01,42.12,6.922,,88.3,7.55,6.909,,00:01
01/01/2017 02:00,14.09,14,66.36,6.045,9.48,40,5.382,11.98,01:01,41.28,6.634,,86.9,6.917,6.634,,01:01
01/01/2017 03:00,14.09,14,23.18,5.477,8.39,30,6.532,13.16,02:22,36.83,6.414,,89.2,6.631,6.311,,02:01
01/01/2017 04:00,14.09,14.02,17.38,4.509,6.912,20,5.475,11.21,03:17,11.53,6.341,,88,6.44,6.308,,03:01
01/01/2017 05:00,14.09,14.05,17.79,5.249,9.51,20,4.648,9.51,04:54,25.2,6.399,,88.2,6.461,6.335,,04:01
01/01/2017 06:00,14.09,14.05,26.49,6.663,11.4,10,6.54,12.17,05:29,7.57,6.514,,89.7,6.515,6.359,,05:01
01/01/2017 07:00,14.09,14.05,26.21,6.41,9.93,40,6.655,12.46,06:09,42.54,7.05,,91.6,7.05,6.491,,06:01
01/01/2017 08:00,14.09,14.05,21.54,3.709,5.469,20,4.185,8.8,07:03,27.02,7.44,,93.1,7.46,7.06,,07:01
01/01/2017 09:00,14.09,14.07,13.5,4.913,7.81,20,4.718,7.81,08:56,15.03,7.69,,94.1,7.69,7.44,,08:01
01/01/2017 10:00,14.09,14.07,46.74,6.515,9.93,10,5.076,9.93,09:51,43.92,8.57,,93,8.57,7.68,,09:01
